categorie_carigel,nom,unite,conditionnement,marque_souhaitee,code_fournisseur,prix_ht_eur,allergenes,dlc_jours,stock_min,notes
Pain & Viennoiserie,Pains au chocolat,pièce,Carton 100 surgelés,,,,gluten|lait|œufs|soja,180,50,
Dessert & Glace,Glace vanille bourbon,L,Bac 5L,,,,lait|œufs,365,15,
Dessert & Glace,Glace chocolat noir,L,Bac 5L,,,,lait|soja,365,10,
Dessert & Glace,Glace fraise,L,Bac 5L,,,,lait,365,5,
Dessert & Glace,Sorbet citron,L,Bac 5L,,,,,365,5,
Dessert & Glace,Sorbet framboise,L,Bac 5L,,,,,365,3,
Dessert & Glace,Tiramisu individuel,pièce,Carton 12 verrines,,,,lait|œufs|gluten,21,30,Ou base mascarpone si fait sur place
Dessert & Glace,Fondant chocolat individuel,pièce,Carton 48 surgelés,,,,lait|œufs|gluten,365,50,À cuire à la commande
Dessert & Glace,Crème brûlée portion,pièce,Carton 12,,,,lait|œufs,21,30,
Dessert & Glace,Gâteau au chocolat entier,pièce,Surgelé,,,,lait|œufs|gluten,365,5,À portionner
Épicerie,Farine T55,kg,Sac 25kg,,,,gluten,365,25,
Épicerie,Farine T00 italienne pizza,kg,Sac 25kg,Caputo ou équivalent,,,gluten,365,25,
Épicerie,Farine T65 Bio,kg,Sac 5kg,,,,gluten,365,5,
Épicerie,Levure boulangère fraîche,kg,Bloc 500g,,,,gluten,30,2,
Épicerie,Sucre semoule,kg,Sac 5kg,,,,,1095,10,
Épicerie,Sucre cassonade,kg,Sac 1kg,,,,,1095,3,
Épicerie,Sel fin de table,kg,Sac 5kg,,,,,1825,5,
Épicerie,Sel gros marin,kg,Sac 1kg,,,,,1825,2,
Épicerie,Poivre noir moulu,kg,Sachet 500g,,,,,365,1,
Épicerie,Poivre noir grains,kg,Sachet 500g,,,,,1095,1,
Épicerie,Mélange épices grill steakhouse,kg,Sachet 500g,,,,,365,1,
Épicerie,Huile d'olive extra vierge,L,Bidon 5L,AOC France ou Italie,,,,540,10,
Épicerie,Huile de tournesol friture,L,Bidon 10L,,,,,365,30,
Épicerie,Vinaigre balsamique Modène,L,Bouteille 1L,,,,,1825,3,
Épicerie,Vinaigre de vin rouge,L,Bouteille 1L,,,,,1825,2,
Épicerie,Sauce tomate cuisinée,L,Brique 1L ou bocal 4/4,,,,,365,8,
Épicerie,Sauce béchamel UHT,L,Brique 1L,,,,lait|gluten,365,5,
Épicerie,Ketchup portions individuelles 20g,pièce,Carton 250,,,,,365,250,Pour livraison
Épicerie,Mayonnaise portions 20g,pièce,Carton 250,,,,œufs|moutarde,365,250,Pour livraison
Épicerie,Moutarde Dijon portion,pièce,Carton 250,,,,moutarde,365,150,
Épicerie,Moutarde Dijon pot 1kg,kg,Pot 1kg,,,,moutarde,540,2,
Épicerie,Mayonnaise pot 2.5kg,kg,Seau 2.5kg,,,,œufs|moutarde,180,3,
Épicerie,Cornichons,kg,Bocal 2kg,,,,,540,2,
Épicerie,Câpres,kg,Bocal 1kg,,,,,540,1,
Épicerie,Olives noires dénoyautées,kg,Bocal 1kg,,,,,540,3,
Épicerie,Olives vertes farcies,kg,Bocal 1kg,,,,,540,2,
Épicerie,Pignons de pin,kg,Sachet 500g,,,,fruits à coque,365,1,
Épicerie,Pesto vert au basilic,kg,Bocal 1kg,,,,fruits à coque|lait,540,2,
Épicerie,Pâte à pizza surgelée 30cm,pièce,Carton 50,,,,gluten,365,50,Diamètre 30cm
Épicerie,Spaghetti,kg,Boîte 5kg,De Cecco ou équivalent,,,gluten,1095,20,
Épicerie,Tagliatelle,kg,Boîte 5kg,De Cecco ou équivalent,,,gluten,1095,10,
Épicerie,Penne,kg,Boîte 5kg,De Cecco ou équivalent,,,gluten,1095,10,
Épicerie,Riz Arborio risotto,kg,Sac 5kg,,,,,1095,5,
Épicerie,Lentilles vertes du Puy,kg,Sachet 5kg,,,,,1095,3,
Épicerie,Tomates pelées entières,kg,Boîte 4/4,,,,,1095,15,
Épicerie,Concentré de tomate,kg,Boîte 4/4,,,,,1095,2,
Épicerie,Bouillon de volaille en poudre,kg,Boîte 1kg,,,,céleri|gluten,720,1,
Épicerie,Bouillon de bœuf en poudre,kg,Boîte 1kg,,,,céleri|gluten,720,1,
Épicerie,Fond brun pour sauce,kg,Boîte 1kg,,,,céleri|gluten,720,1,
Épicerie,Café grain torréfaction maison,kg,Sachet 1kg,,,,,365,15,Mélange espresso
Épicerie,Sucre dosettes individuelles,pièce,Carton 1000,,,,,1095,1000,
Épicerie,Chocolat dosettes individuelles,pièce,Carton 500,,,,lait|soja,365,300,
Épicerie,Cacao en poudre amer,kg,Sachet 1kg,,,,lait,540,1,Pâtisserie
Épicerie,Biscuits boudoirs,kg,Sachet 1kg,,,,gluten|œufs|lait,180,3,Tiramisu
Boissons,Coca-Cola 33cl canette,pièce,Carton 24,,,,,365,400,
Boissons,Coca Zero 33cl canette,pièce,Carton 24,,,,,365,200,
Boissons,Eau Évian 50cl,pièce,Carton 24,,,,,365,200,
Boissons,Eau Perrier 33cl,pièce,Carton 24,,,,,365,150,
Boissons,Jus d'orange 1L,L,Brique 1L,Marque fournisseur,,,,180,15,
Boissons,Sirop bar grenadine,L,Bouteille 1L,,,,,1095,5,
Boissons,Sirop bar menthe,L,Bouteille 1L,,,,,1095,5,
Boissons,Sirop bar citron,L,Bouteille 1L,,,,,1095,5,
Non Alimentaire,Boîte carton à emporter 1 part,pièce,Carton 250,,,,,,300,Pour livraison/snacking
Non Alimentaire,Boîte carton à emporter 2 parts,pièce,Carton 250,,,,,,150,
Non Alimentaire,Boîte pizza 33cm,pièce,Carton 100,,,,,,300,
Non Alimentaire,Boîte pizza 40cm,pièce,Carton 100,,,,,,100,
Non Alimentaire,Sachet papier kraft brun,pièce,Lot 1000,,,,,,500,Boulangerie snack
Non Alimentaire,Serviettes papier 2 plis blanches,paquet,Paquet 100,,,,,,10,
Non Alimentaire,Fourchette plastique réutilisable,pièce,Sachet 100,,,,,,300,Norme jetable interdit
Non Alimentaire,Cuillère plastique réutilisable,pièce,Sachet 100,,,,,,200,
Non Alimentaire,Couteau plastique réutilisable,pièce,Sachet 100,,,,,,200,
Non Alimentaire,Gobelet carton 25cl,pièce,Lot 1000,,,,,,300,À emporter
Non Alimentaire,Couvercle gobelet carton 25cl,pièce,Lot 1000,,,,,,300,
Non Alimentaire,Film alimentaire 30cm x 300m,rouleau,Carton 6 rouleaux,,,,,,2,
Non Alimentaire,Papier sulfurisé,rouleau,Carton 6 rouleaux,,,,,,2,
Non Alimentaire,Aluminium ménager 30cm x 200m,rouleau,Carton 6 rouleaux,,,,,,2,
Non Alimentaire,Sacs poubelle 100L noirs,rouleau,Carton 5 rouleaux x 20,,,,,,3,
Non Alimentaire,Sacs poubelle 30L blancs cuisine,rouleau,Carton 5 rouleaux x 50,,,,,,3,
Non Alimentaire,Produit vaisselle pro,L,Bidon 5L,,,,,,2,
Non Alimentaire,Dégraissant cuisine pro,L,Bidon 5L,,,,,,3,
Non Alimentaire,Nettoyant sol pro,L,Bidon 5L,,,,,,2,
Non Alimentaire,Désinfectant surfaces alimentaire HACCP,L,Bidon 5L,Norme HACCP,,,,,2,
Non Alimentaire,Essuie-tout pro rouleaux,rouleau,Carton 6 rouleaux,,,,,,3,
Non Alimentaire,Gants jetables vinyle taille M,boîte 100,Carton 10 boîtes,,,,,,5,
Non Alimentaire,Gants jetables vinyle taille L,boîte 100,Carton 10 boîtes,,,,,,5,
Non Alimentaire,Charlottes jetables blanches,paquet 100,Carton 10 paquets,,,,,,1,
Non Alimentaire,Tabliers jetables PE blancs,paquet 50,Carton 10 paquets,,,,,,1,
